83262,1668845025096,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,page20,enter,0.0543,92,dieleidendesjungenwerthers-51513;dieleidendesjungenwerthers-96f65;dieleidendesjungenwerthers-abe15;dieleidendesjungenwerthers-ace4e;dieleidendesjungenwerthers-afa9c;dieleidendesjungenwerthers-cf1f9;dieleidendesjungenwerthers-f5fcf
83263,1668845054145,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,page21,enter,0.0568,98,dieleidendesjungenwerthers-40759;dieleidendesjungenwerthers-6ba4f;dieleidendesjungenwerthers-9c017;dieleidendesjungenwerthers-d277f
83264,1668845093750,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,page22,enter,0.0594,101,dieleidendesjungenwerthers-527dd;dieleidendesjungenwerthers-597a0;dieleidendesjungenwerthers-88064;dieleidendesjungenwerthers-a43b7;dieleidendesjungenwerthers-d277f
83265,1668845139133,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,page23,enter,0.062,98,dieleidendesjungenwerthers-10218;dieleidendesjungenwerthers-2b78c;dieleidendesjungenwerthers-2d60c;dieleidendesjungenwerthers-597a0;dieleidendesjungenwerthers-f1ac3
83266,1668845182256,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,page24,enter,0.0646,113,dieleidendesjungenwerthers-10218;dieleidendesjungenwerthers-ab471;dieleidendesjungenwerthers-c96a8;dieleidendesjungenwerthers-facb4
83267,1668845196674,38139cd200f81ec055d781802cfd5eb2,zKOPH,start,,enter,,0,
83268,1668845196713,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,,enter,dieleidendesjungenwerthers,0,
83269,1668845196816,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,page24,enter,0.0646,113,dieleidendesjungenwerthers-10218;dieleidendesjungenwerthers-ab471;dieleidendesjungenwerthers-c96a8;dieleidendesjungenwerthers-facb4
83270,1668845197175,38139cd200f81ec055d781802cfd5eb2,zKOPH,start,,enter,,0,
83271,1668845197216,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,,enter,dieleidendesjungenwerthers,0,
83272,1668845197336,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,page24,enter,0.0646,113,dieleidendesjungenwerthers-10218;dieleidendesjungenwerthers-ab471;dieleidendesjungenwerthers-c96a8;dieleidendesjungenwerthers-facb4
83273,1668845198521,38139cd200f81ec055d781802cfd5eb2,zKOPH,reader_dieleidendesjungenwerthers,page25,leave,0.062,113,dieleidendesjungenwerthers-10218;dieleidendesjungenwerthers-ab471;dieleidendesjungenwerthers-c96a8;dieleidendesjungenwerthers-facb4
83274,1668857657384,dabcb69066dd91d3d76cef45de67d94f,ywTfO,start,,enter,,0,
83275,1668857657394,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,,enter,ardinghellounddieglckseligeninseln,0,
83276,1668857658843,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page695,enter,0.6385,87,ardinghellounddieglckseligeninseln-73593;ardinghellounddieglckseligeninseln-7ee50;ardinghellounddieglckseligeninseln-9baac;ardinghellounddieglckseligeninseln-ef2a3
83277,1668857672067,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,location,set,ort-3,0,
83278,1668857682959,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page695,enter,0.6385,87,ardinghellounddieglckseligeninseln-73593;ardinghellounddieglckseligeninseln-7ee50;ardinghellounddieglckseligeninseln-9baac;ardinghellounddieglckseligeninseln-ef2a3
83279,1668857683840,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page696,enter,0.6394,96,ardinghellounddieglckseligeninseln-76603;ardinghellounddieglckseligeninseln-7ee50;ardinghellounddieglckseligeninseln-adc18;ardinghellounddieglckseligeninseln-b274d;ardinghellounddieglckseligeninseln-b7e04
83280,1668857685058,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page695,enter,0.6385,87,ardinghellounddieglckseligeninseln-73593;ardinghellounddieglckseligeninseln-7ee50;ardinghellounddieglckseligeninseln-9baac;ardinghellounddieglckseligeninseln-ef2a3
83281,1668857685452,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page694,enter,0.6376,89,ardinghellounddieglckseligeninseln-39d06;ardinghellounddieglckseligeninseln-6913e;ardinghellounddieglckseligeninseln-a42ef;ardinghellounddieglckseligeninseln-b1f4f;ardinghellounddieglckseligeninseln-ef2a3
83282,1668857685836,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page693,enter,0.6367,107,ardinghellounddieglckseligeninseln-0f15f;ardinghellounddieglckseligeninseln-0f928;ardinghellounddieglckseligeninseln-12142;ardinghellounddieglckseligeninseln-39d06;ardinghellounddieglckseligeninseln-8b5c3;ardinghellounddieglckseligeninseln-ef8f4
83283,1668857686190,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page692,enter,0.6358,106,ardinghellounddieglckseligeninseln-0f928;ardinghellounddieglckseligeninseln-1a3cc;ardinghellounddieglckseligeninseln-714a9;ardinghellounddieglckseligeninseln-76568;ardinghellounddieglckseligeninseln-935bf
83284,1668857686586,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page691,enter,0.6349,93,ardinghellounddieglckseligeninseln-69dd4;ardinghellounddieglckseligeninseln-935bf;ardinghellounddieglckseligeninseln-b3282;ardinghellounddieglckseligeninseln-bdb45;ardinghellounddieglckseligeninseln-d0dff;ardinghellounddieglckseligeninseln-e722e
83285,1668857687008,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page690,enter,0.6339,93,ardinghellounddieglckseligeninseln-5a64f;ardinghellounddieglckseligeninseln-5ba9a;ardinghellounddieglckseligeninseln-6da13;ardinghellounddieglckseligeninseln-86221;ardinghellounddieglckseligeninseln-b3282;ardinghellounddieglckseligeninseln-b6d6e
83286,1668857687441,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page689,enter,0.633,96,ardinghellounddieglckseligeninseln-134ed;ardinghellounddieglckseligeninseln-18a2b;ardinghellounddieglckseligeninseln-1e7a1;ardinghellounddieglckseligeninseln-5eaa9;ardinghellounddieglckseligeninseln-6da13;ardinghellounddieglckseligeninseln-75db0
83287,1668857687870,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page688,enter,0.6321,101,ardinghellounddieglckseligeninseln-543f7;ardinghellounddieglckseligeninseln-5eaa9;ardinghellounddieglckseligeninseln-66fb9;ardinghellounddieglckseligeninseln-77fe2;ardinghellounddieglckseligeninseln-b2b25;ardinghellounddieglckseligeninseln-c4963;ardinghellounddieglckseligeninseln-ec3f7
83288,1668857688245,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page687,enter,0.6312,105,ardinghellounddieglckseligeninseln-1f950;ardinghellounddieglckseligeninseln-249e7;ardinghellounddieglckseligeninseln-543f7;ardinghellounddieglckseligeninseln-94017;ardinghellounddieglckseligeninseln-d8d01
83289,1668857688709,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page686,enter,0.6303,83,ardinghellounddieglckseligeninseln-249e7;ardinghellounddieglckseligeninseln-6478e;ardinghellounddieglckseligeninseln-a3119;ardinghellounddieglckseligeninseln-bd590;ardinghellounddieglckseligeninseln-f6bc2;ardinghellounddieglckseligeninseln-fca8a
83290,1668857689187,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page685,enter,0.6294,89,ardinghellounddieglckseligeninseln-0386e;ardinghellounddieglckseligeninseln-2db3d;ardinghellounddieglckseligeninseln-326f8;ardinghellounddieglckseligeninseln-747cc;ardinghellounddieglckseligeninseln-f6bc2
83291,1668857689605,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page684,enter,0.6284,86,ardinghellounddieglckseligeninseln-326f8;ardinghellounddieglckseligeninseln-564de;ardinghellounddieglckseligeninseln-5f1f9;ardinghellounddieglckseligeninseln-7bac9;ardinghellounddieglckseligeninseln-90bd1;ardinghellounddieglckseligeninseln-97320;ardinghellounddieglckseligeninseln-c4973;ardinghellounddieglckseligeninseln-d67cd
83292,1668857690110,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page683,enter,0.6275,84,ardinghellounddieglckseligeninseln-15858;ardinghellounddieglckseligeninseln-b5e95;ardinghellounddieglckseligeninseln-c4973
83293,1668857690555,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page682,enter,0.6266,87,ardinghellounddieglckseligeninseln-0d5c1;ardinghellounddieglckseligeninseln-15858;ardinghellounddieglckseligeninseln-5f426;ardinghellounddieglckseligeninseln-71732;ardinghellounddieglckseligeninseln-86f98;ardinghellounddieglckseligeninseln-95586;ardinghellounddieglckseligeninseln-a21df
83294,1668857690997,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page681,enter,0.6257,106,ardinghellounddieglckseligeninseln-28ec1;ardinghellounddieglckseligeninseln-6331a;ardinghellounddieglckseligeninseln-6b329;ardinghellounddieglckseligeninseln-75c31;ardinghellounddieglckseligeninseln-86d8f;ardinghellounddieglckseligeninseln-a21df;ardinghellounddieglckseligeninseln-eec02;ardinghellounddieglckseligeninseln-f7bd1;ardinghellounddieglckseligeninseln-fbf88
83295,1668857691422,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page680,enter,0.6248,100,ardinghellounddieglckseligeninseln-5bfe6;ardinghellounddieglckseligeninseln-5f527;ardinghellounddieglckseligeninseln-75c31;ardinghellounddieglckseligeninseln-9305a;ardinghellounddieglckseligeninseln-9f831;ardinghellounddieglckseligeninseln-b47d6;ardinghellounddieglckseligeninseln-bf095;ardinghellounddieglckseligeninseln-faeaa
83296,1668857691825,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page679,enter,0.6239,92,ardinghellounddieglckseligeninseln-489f0;ardinghellounddieglckseligeninseln-6cd17;ardinghellounddieglckseligeninseln-93e10;ardinghellounddieglckseligeninseln-a7f7d;ardinghellounddieglckseligeninseln-e9bdf;ardinghellounddieglckseligeninseln-faeaa
83297,1668857692178,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page678,enter,0.6229,97,ardinghellounddieglckseligeninseln-396b1;ardinghellounddieglckseligeninseln-45d61;ardinghellounddieglckseligeninseln-591e5;ardinghellounddieglckseligeninseln-83abc;ardinghellounddieglckseligeninseln-95c58;ardinghellounddieglckseligeninseln-b94fd;ardinghellounddieglckseligeninseln-c1052;ardinghellounddieglckseligeninseln-e9bdf
83298,1668857692489,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page677,enter,0.622,94,ardinghellounddieglckseligeninseln-0013d;ardinghellounddieglckseligeninseln-591e5;ardinghellounddieglckseligeninseln-5a301;ardinghellounddieglckseligeninseln-60b51;ardinghellounddieglckseligeninseln-7b4df;ardinghellounddieglckseligeninseln-82ef4;ardinghellounddieglckseligeninseln-86b60;ardinghellounddieglckseligeninseln-a566d;ardinghellounddieglckseligeninseln-c24e5
83299,1668857692760,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page676,enter,0.6211,94,ardinghellounddieglckseligeninseln-1b4f9;ardinghellounddieglckseligeninseln-4edc1;ardinghellounddieglckseligeninseln-68677;ardinghellounddieglckseligeninseln-86b60
83300,1668857693006,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page675,enter,0.6202,110,ardinghellounddieglckseligeninseln-1b4f9;ardinghellounddieglckseligeninseln-3f682;ardinghellounddieglckseligeninseln-99701;ardinghellounddieglckseligeninseln-fac95
83301,1668857693243,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page674,enter,0.6193,104,ardinghellounddieglckseligeninseln-21b9b;ardinghellounddieglckseligeninseln-2f537;ardinghellounddieglckseligeninseln-bea1b
83302,1668857693527,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page673,enter,0.6183,93,ardinghellounddieglckseligeninseln-20fd8;ardinghellounddieglckseligeninseln-617b5;ardinghellounddieglckseligeninseln-7a0a8;ardinghellounddieglckseligeninseln-a1284;ardinghellounddieglckseligeninseln-a796a;ardinghellounddieglckseligeninseln-f43a1
83303,1668857698678,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,emotion,set,emotion-1,0,
83304,1668857701835,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page672,enter,0.6174,96,ardinghellounddieglckseligeninseln-0d3bd;ardinghellounddieglckseligeninseln-3ceea;ardinghellounddieglckseligeninseln-9a085;ardinghellounddieglckseligeninseln-a796a;ardinghellounddieglckseligeninseln-b0715;ardinghellounddieglckseligeninseln-c90cd;ardinghellounddieglckseligeninseln-e13ce;ardinghellounddieglckseligeninseln-eb2b6
83305,1668857702194,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page671,enter,0.6165,87,ardinghellounddieglckseligeninseln-3ceea;ardinghellounddieglckseligeninseln-44d0c;ardinghellounddieglckseligeninseln-742e0;ardinghellounddieglckseligeninseln-b5394;ardinghellounddieglckseligeninseln-d6c3a
83306,1668857702528,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page670,enter,0.6156,91,ardinghellounddieglckseligeninseln-44d0c;ardinghellounddieglckseligeninseln-d0ed0;ardinghellounddieglckseligeninseln-fb168;ardinghellounddieglckseligeninseln-ff5a2
83307,1668857702845,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page669,enter,0.6147,87,ardinghellounddieglckseligeninseln-05f8f;ardinghellounddieglckseligeninseln-0ac63;ardinghellounddieglckseligeninseln-24880;ardinghellounddieglckseligeninseln-8a573;ardinghellounddieglckseligeninseln-cba5a;ardinghellounddieglckseligeninseln-d0ed0;ardinghellounddieglckseligeninseln-fd28a
83308,1668857703161,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page668,enter,0.6138,98,ardinghellounddieglckseligeninseln-05f8f;ardinghellounddieglckseligeninseln-0d29b;ardinghellounddieglckseligeninseln-0dfe7;ardinghellounddieglckseligeninseln-ceb0a;ardinghellounddieglckseligeninseln-e4eaf
83309,1668857703483,dabcb69066dd91d3d76cef45de67d94f,ywTfO,reader_ardinghellounddieglckseligeninseln,page667,enter,0.6128,88,ardinghellounddieglckseligeninseln-22777;ardinghellounddieglckseligeninseln-327ca;ardinghellounddieglckseligeninseln-d3d91;ardinghellounddieglckseligeninseln-e4eaf
