48930,1640873139963,1f073dbe1af9e38313eb691f442879e5,TW96O,reader_ausdemlebeneinestaugenichts,page1,enter,0.0119,0,
48931,1640873140631,1f073dbe1af9e38313eb691f442879e5,TW96O,reader_ausdemlebeneinestaugenichts,location,close,reject,0,
48932,1640873150411,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page113,enter,0.2404,117,hyperion-1-4-2-8-12;hyperion-1-4-2-8-13;hyperion-1-4-2-8-14;hyperion-1-4-2-8-15
48933,1640873240284,1f073dbe1af9e38313eb691f442879e5,TW96O,home,,enter,,0,
48934,1640873242428,1f073dbe1af9e38313eb691f442879e5,TW96O,gluecksaufschlag-intro,,enter,,0,
48935,1640873246843,1f073dbe1af9e38313eb691f442879e5,TW96O,gluecksaufschlag-intro,,enter,,0,
48936,1640873250538,1f073dbe1af9e38313eb691f442879e5,TW96O,profileinstellungen,,enter,,0,
48937,1640873254171,1f073dbe1af9e38313eb691f442879e5,TW96O,ueber-textauswahl,,enter,,0,
48938,1640873262255,1f073dbe1af9e38313eb691f442879e5,TW96O,home,,enter,,0,
48939,1640873264843,1f073dbe1af9e38313eb691f442879e5,TW96O,gluecksaufschlag-intro,,enter,,0,
48940,1640873269035,1f073dbe1af9e38313eb691f442879e5,TW96O,gluecksaufschlag-intro,,enter,,0,
48941,1640873270275,1f073dbe1af9e38313eb691f442879e5,TW96O,home,,enter,,0,
48942,1640873272091,1f073dbe1af9e38313eb691f442879e5,TW96O,fifty-saetze,,enter,,0,
48943,1640873304796,1f073dbe1af9e38313eb691f442879e5,TW96O,reader_derprozess,,enter,derprozess,0,
48944,1640873308221,1f073dbe1af9e38313eb691f442879e5,TW96O,reader_derprozess,page168,enter,0.9333,944,derprozess-9-2-1-13
48945,1640873309143,1f073dbe1af9e38313eb691f442879e5,TW96O,reader_derprozess,location,close,reject,0,
48946,1640873415818,1f073dbe1af9e38313eb691f442879e5,TW96O,reader_derprozess,page167,enter,0.9278,0,
48947,1640873417450,1f073dbe1af9e38313eb691f442879e5,TW96O,reader_derprozess,page166,enter,0.9222,1272,derprozess-9-2-1-12;derprozess-9-2-1-13
48948,1640873424819,1f073dbe1af9e38313eb691f442879e5,TW96O,home,,enter,,0,
48949,1640873428152,1f073dbe1af9e38313eb691f442879e5,TW96O,fifty-saetze,,enter,,0,
48950,1640873430037,1f073dbe1af9e38313eb691f442879e5,TW96O,fifty-saetze,page165,enter,0.9167,0,
48951,1640873432365,1f073dbe1af9e38313eb691f442879e5,TW96O,fifty-saetze,emotion,close,reject,0,
48952,1640873437049,1f073dbe1af9e38313eb691f442879e5,TW96O,reader_diepiccolomini,,enter,diepiccolomini,0,
48953,1640873440963,1f073dbe1af9e38313eb691f442879e5,TW96O,reader_diepiccolomini,page56,enter,0.5385,229,diepiccolomini-4-4-2-1-13-2-16;diepiccolomini-4-4-2-1-13-2-17;diepiccolomini-4-4-2-1-13-2-18;diepiccolomini-4-4-2-1-13-2-19;diepiccolomini-4-4-2-1-13-2-20;diepiccolomini-4-4-2-1-14-1;diepiccolomini-4-4-2-1-14-2-1;diepiccolomini-4-4-2-1-14-2-2;diepiccolomini-4-4-2-1-14-2-3;diepiccolomini-4-4-2-1-14-2-4;diepiccolomini-4-4-2-1-14-2-5;diepiccolomini-4-4-2-1-15-1;diepiccolomini-4-4-2-1-15-2-1;diepiccolomini-4-4-2-1-15-2-2;diepiccolomini-4-4-2-1-15-2-3;diepiccolomini-4-4-2-1-15-2-4;diepiccolomini-4-4-2-1-15-2-5;diepiccolomini-4-4-2-1-15-2-6;diepiccolomini-4-4-2-1-15-2-7;diepiccolomini-4-4-2-1-15-2-8;diepiccolomini-4-4-2-1-15-2-9;diepiccolomini-4-4-2-1-16-1;diepiccolomini-4-4-2-1-16-2;diepiccolomini-4-4-2-1-17-1;diepiccolomini-4-4-2-1-17-2;diepiccolomini-4-4-2-1-18-1;diepiccolomini-4-4-2-1-18-2;diepiccolomini-4-4-2-1-19-1;diepiccolomini-4-4-2-1-19-2-1;diepiccolomini-4-4-2-1-19-2-2;diepiccolomini-4-4-2-1-19-2-3;diepiccolomini-4-4-2-1-19-2-4;diepiccolomini-4-4-2-1-19-2-5;diepiccolomini-4-4-2-1-19-2-6;diepiccolomini-4-4-2-1-19-2-7;diepiccolomini-4-4-2-1-19-2-8;diepiccolomini-4-4-2-1-19-2-9
48954,1640873441409,1f073dbe1af9e38313eb691f442879e5,TW96O,reader_diepiccolomini,location,close,reject,0,
48955,1640879785977,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,start,,enter,,0,
48956,1640879786019,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,,enter,diejudenbuche,0,
48957,1640879787017,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page26,enter,0.5909,442,diejudenbuche-1-3-68;diejudenbuche-1-3-69;diejudenbuche-1-3-70
48958,1640879793947,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,location,set,ort-3,0,
48959,1640879887812,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page27,enter,0.6136,462,diejudenbuche-1-3-71;diejudenbuche-1-3-72;diejudenbuche-1-3-73;diejudenbuche-1-3-74
48960,1640879980028,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page28,enter,0.6364,414,diejudenbuche-1-3-74;diejudenbuche-1-3-75;diejudenbuche-1-3-76
48961,1640880093000,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page29,enter,0.6591,466,diejudenbuche-1-3-76;diejudenbuche-1-3-77;diejudenbuche-1-3-78;diejudenbuche-1-3-79
48962,1640880187408,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page30,enter,0.6818,486,diejudenbuche-1-3-79;diejudenbuche-1-3-80;diejudenbuche-1-3-81
48963,1640880290842,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page31,enter,0.7045,742,diejudenbuche-1-3-81;diejudenbuche-1-3-82;diejudenbuche-1-3-83;diejudenbuche-1-3-84
48964,1640880303095,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,emotion,set,emotion-4,0,
48965,1640880420047,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page32,enter,0.7273,539,diejudenbuche-1-3-84;diejudenbuche-1-3-85
48966,1640880424832,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page31,enter,0.7045,742,diejudenbuche-1-3-81;diejudenbuche-1-3-82;diejudenbuche-1-3-83;diejudenbuche-1-3-84
48967,1640880430014,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page32,enter,0.7273,539,diejudenbuche-1-3-84;diejudenbuche-1-3-85
48968,1640880549229,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page33,enter,0.75,721,diejudenbuche-1-3-85;diejudenbuche-1-3-86;diejudenbuche-1-3-87
48969,1640880638920,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page34,enter,0.7727,584,diejudenbuche-1-3-87;diejudenbuche-1-3-88;diejudenbuche-1-3-89
48970,1640880646372,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page33,enter,0.75,721,diejudenbuche-1-3-85;diejudenbuche-1-3-86;diejudenbuche-1-3-87
48971,1640880649136,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page34,enter,0.7727,584,diejudenbuche-1-3-87;diejudenbuche-1-3-88;diejudenbuche-1-3-89
48972,1640880740894,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page35,enter,0.7955,430,diejudenbuche-1-3-90;diejudenbuche-1-3-91
48973,1640880861564,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page36,enter,0.8182,611,diejudenbuche-1-3-91;diejudenbuche-1-3-93;diejudenbuche-1-3-94;diejudenbuche-1-3-95
48974,1640880972059,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page37,enter,0.8409,396,diejudenbuche-1-3-95;diejudenbuche-1-3-96;diejudenbuche-1-3-97;diejudenbuche-1-3-98-1;diejudenbuche-1-3-98-10;diejudenbuche-1-3-98-2;diejudenbuche-1-3-98-3;diejudenbuche-1-3-98-4;diejudenbuche-1-3-98-5;diejudenbuche-1-3-98-6;diejudenbuche-1-3-98-7;diejudenbuche-1-3-98-8;diejudenbuche-1-3-98-9;diejudenbuche-1-3-99
48975,1640881056610,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page38,enter,0.8636,442,diejudenbuche-1-3-100;diejudenbuche-1-3-101;diejudenbuche-1-3-102;diejudenbuche-1-3-99
48976,1640881144366,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page39,enter,0.8864,476,diejudenbuche-1-3-102;diejudenbuche-1-3-103;diejudenbuche-1-3-104;diejudenbuche-1-3-105
48977,1640881237100,cf4a6251c3bb3d62b5c1326ad2a4728c,fCOg9,reader_diejudenbuche,page40,enter,0.9091,483,diejudenbuche-1-3-105;diejudenbuche-1-3-106;diejudenbuche-1-3-107
48978,1640883766476,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,,enter,hyperion,0,
48979,1640883766441,aced0a82d5e8ded5368ce3994659ff14,kOwlf,start,,enter,,0,
48980,1640883768142,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page114,enter,0.2426,136,hyperion-1-4-2-8-15;hyperion-1-4-2-8-16;hyperion-1-4-2-8-17;hyperion-1-4-2-8-18
48981,1640883771683,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,location,set,ort-3,0,
48982,1640883831462,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page115,enter,0.2447,145,hyperion-1-4-2-8-18;hyperion-1-4-2-9-2;hyperion-1-4-2-9-3;hyperion-1-4-2-9-4;hyperion-1-4-2-9-5
48983,1640883883308,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page116,enter,0.2468,117,hyperion-1-4-2-9-5;hyperion-1-4-2-9-6;hyperion-1-4-2-9-7
48984,1640883939063,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page117,enter,0.2489,166,hyperion-1-4-2-10-2;hyperion-1-4-2-10-3;hyperion-1-4-2-10-4;hyperion-1-4-2-9-7;hyperion-1-4-2-9-8
48985,1640884009189,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page118,enter,0.2511,107,hyperion-1-4-2-10-4;hyperion-1-4-2-10-5;hyperion-1-4-2-10-6
48986,1640884088396,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page119,enter,0.2532,135,hyperion-1-4-2-10-7;hyperion-1-4-2-10-8;hyperion-1-4-2-10-9
48987,1640884093858,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,emotion,set,emotion-3,0,
48988,1640884160268,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page120,enter,0.2553,121,hyperion-1-4-2-10-10;hyperion-1-4-2-10-11;hyperion-1-4-2-10-12;hyperion-1-4-2-10-9
48989,1640884252371,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page121,enter,0.2574,192,hyperion-1-4-2-10-12;hyperion-1-4-2-10-13;hyperion-1-4-2-10-14
48990,1640884291516,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page122,enter,0.2596,114,hyperion-1-4-2-10-14;hyperion-1-4-2-10-15
48991,1640884342736,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page123,enter,0.2617,120,hyperion-1-4-2-10-16;hyperion-1-4-2-10-17;hyperion-1-4-2-11-2;hyperion-1-4-2-11-3
48992,1640884400319,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page124,enter,0.2638,219,hyperion-1-4-2-11-3;hyperion-1-4-2-11-4;hyperion-1-4-2-11-5
48993,1640884459368,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page125,enter,0.266,154,hyperion-1-4-2-11-5;hyperion-1-4-2-11-6
48994,1640884527662,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page126,enter,0.2681,195,hyperion-1-4-2-11-6;hyperion-1-4-2-11-7;hyperion-1-4-2-11-8
48995,1640884578711,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page127,enter,0.2702,131,hyperion-1-4-2-11-10;hyperion-1-4-2-11-8;hyperion-1-4-2-11-9
48996,1640884634386,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page128,enter,0.2723,120,hyperion-1-4-2-11-10;hyperion-1-4-2-11-11;hyperion-1-4-2-11-12;hyperion-1-4-2-11-13
48997,1640884688229,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page129,enter,0.2745,94,hyperion-1-4-2-11-13;hyperion-1-4-2-11-14;hyperion-1-5-1-1-1;hyperion-1-5-2-1-3;hyperion-1-5-2-1-4;hyperion-1-5-2-1-5;hyperion-1-5-2-1-6
48998,1640884733680,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page130,enter,0.2766,151,hyperion-1-5-2-1-6;hyperion-1-5-2-1-7;hyperion-1-5-2-1-8;hyperion-1-5-2-1-9
48999,1640884787611,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page131,enter,0.2787,140,hyperion-1-5-2-1-10;hyperion-1-5-2-1-11;hyperion-1-5-2-1-9
49000,1640884845365,aced0a82d5e8ded5368ce3994659ff14,kOwlf,reader_hyperion,page132,enter,0.2809,67,hyperion-1-5-2-2-2;hyperion-1-5-2-2-3
49001,1640885743454,919891abb02e467e56f8ae8be57be4ce,GGimE,fragebogen,,enter,,0,
49002,1640885770050,919891abb02e467e56f8ae8be57be4ce,GGimE,home,,enter,,0,
49003,1640885787786,919891abb02e467e56f8ae8be57be4ce,GGimE,gluecksaufschlag-intro,,enter,,0,
49004,1640885790643,919891abb02e467e56f8ae8be57be4ce,GGimE,gluecksaufschlag,,enter,,0,
49005,1640885794474,919891abb02e467e56f8ae8be57be4ce,GGimE,gluecksaufschlag-intro,,enter,,0,
49006,1640885795250,919891abb02e467e56f8ae8be57be4ce,GGimE,home,,enter,,0,
49007,1640885796166,919891abb02e467e56f8ae8be57be4ce,GGimE,zu-den-texten,,enter,,0,
49008,1640885805553,919891abb02e467e56f8ae8be57be4ce,GGimE,titelblatt_dasjahrderseele,,enter,dasjahrderseele,0,
49009,1640885812158,919891abb02e467e56f8ae8be57be4ce,GGimE,reader_dasjahrderseele,,enter,dasjahrderseele,0,
49010,1640885813026,919891abb02e467e56f8ae8be57be4ce,GGimE,reader_dasjahrderseele,page1,enter,0.0435,11,dasjahrderseele-1-2-1-1-3-2
49011,1640885821260,919891abb02e467e56f8ae8be57be4ce,GGimE,reader_dasjahrderseele,page2,enter,0.087,48,dasjahrderseele-1-2-1-1-3-2;dasjahrderseele-2-1-1-1;dasjahrderseele-2-2-1-1-1;dasjahrderseele-2-2-1-1-2;dasjahrderseele-2-2-1-1-3;dasjahrderseele-2-2-1-1-4-2
49012,1640885823075,919891abb02e467e56f8ae8be57be4ce,GGimE,reader_dasjahrderseele,page3,enter,0.1304,34,dasjahrderseele-2-2-1-1-4-2;dasjahrderseele-3-1-1-1;dasjahrderseele-3-2-1-1-1;dasjahrderseele-3-2-1-1-2;dasjahrderseele-3-2-1-1-3
49013,1640885853894,919891abb02e467e56f8ae8be57be4ce,GGimE,reader_dasjahrderseele,location,set,ort-2,0,
49014,1640885865844,919891abb02e467e56f8ae8be57be4ce,GGimE,titelblatt_dasjahrderseele,,enter,dasjahrderseele,0,
49015,1640885869603,919891abb02e467e56f8ae8be57be4ce,GGimE,reader_dasjahrderseele,,enter,dasjahrderseele,0,
49016,1640885876593,919891abb02e467e56f8ae8be57be4ce,GGimE,titelblatt_dasjahrderseele,,enter,dasjahrderseele,0,
49017,1640886814060,dc69d553f6e3736bf10ca67a85e10967,1yoCU,start,,enter,,0,
49018,1640886814154,dc69d553f6e3736bf10ca67a85e10967,1yoCU,reader_fausti,,enter,fausti,0,
49019,1640886817238,dc69d553f6e3736bf10ca67a85e10967,1yoCU,start,,enter,,0,
49020,1640886817286,dc69d553f6e3736bf10ca67a85e10967,1yoCU,reader_fausti,,enter,fausti,0,
49021,1640886818259,dc69d553f6e3736bf10ca67a85e10967,1yoCU,reader_fausti,,enter,fausti,0,
49022,1640886818217,dc69d553f6e3736bf10ca67a85e10967,1yoCU,start,,enter,,0,
49023,1640886832834,dc69d553f6e3736bf10ca67a85e10967,1yoCU,start,,enter,,0,
49024,1640886832899,dc69d553f6e3736bf10ca67a85e10967,1yoCU,reader_fausti,,enter,fausti,0,
49025,1640886834103,dc69d553f6e3736bf10ca67a85e10967,1yoCU,start,,enter,,0,
49026,1640886836669,dc69d553f6e3736bf10ca67a85e10967,1yoCU,home,,enter,,0,
49027,1640886838052,dc69d553f6e3736bf10ca67a85e10967,1yoCU,zu-den-texten,,enter,,0,
49028,1640886855790,dc69d553f6e3736bf10ca67a85e10967,1yoCU,titelblatt_dieruber,,enter,dieruber,0,
49029,1640886857461,dc69d553f6e3736bf10ca67a85e10967,1yoCU,reader_dieruber,,enter,dieruber,0,
49030,1640886911233,dc69d553f6e3736bf10ca67a85e10967,1yoCU,titelblatt_dieruber,,enter,dieruber,0,
49031,1640886912617,dc69d553f6e3736bf10ca67a85e10967,1yoCU,reader_dieruber,,enter,dieruber,0,
49032,1640886938659,dc69d553f6e3736bf10ca67a85e10967,1yoCU,titelblatt_dieruber,,enter,dieruber,0,
