7969,1647973346031,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page46,enter,0.0518,437,antonreiser-0-1-2-2-131;antonreiser-0-1-2-2-132;antonreiser-0-1-2-2-134;antonreiser-0-1-2-2-135;antonreiser-0-1-2-2-136;antonreiser-0-1-2-2-137
7970,1647973346316,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page45,enter,0.0507,385,antonreiser-0-1-2-2-129;antonreiser-0-1-2-2-130;antonreiser-0-1-2-2-131;antonreiser-0-1-2-2-132;antonreiser-0-1-2-2-134;antonreiser-0-1-2-2-135
7971,1647973346813,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page44,enter,0.0496,295,antonreiser-0-1-2-2-127;antonreiser-0-1-2-2-129;antonreiser-0-1-2-2-130;antonreiser-0-1-2-2-131;antonreiser-0-1-2-2-132
7972,1647973347149,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page43,enter,0.0485,263,antonreiser-0-1-2-2-123;antonreiser-0-1-2-2-124;antonreiser-0-1-2-2-125;antonreiser-0-1-2-2-127;antonreiser-0-1-2-2-129;antonreiser-0-1-2-2-130
7973,1647973347482,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page42,enter,0.0474,287,antonreiser-0-1-2-2-121;antonreiser-0-1-2-2-122;antonreiser-0-1-2-2-123;antonreiser-0-1-2-2-124;antonreiser-0-1-2-2-125;antonreiser-0-1-2-2-127
7974,1647973347797,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page41,enter,0.0463,319,antonreiser-0-1-2-2-118;antonreiser-0-1-2-2-119;antonreiser-0-1-2-2-121;antonreiser-0-1-2-2-122;antonreiser-0-1-2-2-123;antonreiser-0-1-2-2-124;antonreiser-0-1-2-2-125
7975,1647973348114,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page40,enter,0.0452,336,antonreiser-0-1-2-2-115;antonreiser-0-1-2-2-116;antonreiser-0-1-2-2-117;antonreiser-0-1-2-2-118;antonreiser-0-1-2-2-119;antonreiser-0-1-2-2-121;antonreiser-0-1-2-2-122
7976,1647973348380,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page39,enter,0.0441,287,antonreiser-0-1-2-2-112;antonreiser-0-1-2-2-113;antonreiser-0-1-2-2-115;antonreiser-0-1-2-2-116;antonreiser-0-1-2-2-117;antonreiser-0-1-2-2-118;antonreiser-0-1-2-2-119
7977,1647973348630,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page38,enter,0.043,258,antonreiser-0-1-2-2-110;antonreiser-0-1-2-2-112;antonreiser-0-1-2-2-113;antonreiser-0-1-2-2-115;antonreiser-0-1-2-2-116;antonreiser-0-1-2-2-117
7978,1647973348947,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page37,enter,0.0419,198,antonreiser-0-1-2-2-107;antonreiser-0-1-2-2-108;antonreiser-0-1-2-2-110;antonreiser-0-1-2-2-112;antonreiser-0-1-2-2-113
7979,1647973349517,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page36,enter,0.0407,252,antonreiser-0-1-2-2-104;antonreiser-0-1-2-2-105;antonreiser-0-1-2-2-107;antonreiser-0-1-2-2-108;antonreiser-0-1-2-2-110
7980,1647973349830,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page35,enter,0.0396,307,antonreiser-0-1-2-2-102;antonreiser-0-1-2-2-103;antonreiser-0-1-2-2-104;antonreiser-0-1-2-2-105;antonreiser-0-1-2-2-107;antonreiser-0-1-2-2-108
7981,1647973350130,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page34,enter,0.0385,337,antonreiser-0-1-2-2-100;antonreiser-0-1-2-2-102;antonreiser-0-1-2-2-103;antonreiser-0-1-2-2-104;antonreiser-0-1-2-2-105;antonreiser-0-1-2-2-99
7982,1647973350465,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page33,enter,0.0374,293,antonreiser-0-1-2-2-100;antonreiser-0-1-2-2-102;antonreiser-0-1-2-2-103;antonreiser-0-1-2-2-98;antonreiser-0-1-2-2-99
7983,1647973351045,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page32,enter,0.0363,266,antonreiser-0-1-2-2-100;antonreiser-0-1-2-2-96;antonreiser-0-1-2-2-98;antonreiser-0-1-2-2-99
7984,1647973351529,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page31,enter,0.0352,238,antonreiser-0-1-2-2-93;antonreiser-0-1-2-2-94;antonreiser-0-1-2-2-96;antonreiser-0-1-2-2-98
7985,1647973352095,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page30,enter,0.0341,321,antonreiser-0-1-2-2-90;antonreiser-0-1-2-2-91;antonreiser-0-1-2-2-92;antonreiser-0-1-2-2-93;antonreiser-0-1-2-2-94;antonreiser-0-1-2-2-96
7986,1647973352546,499291d75aa16aff93d9c25d00d825cc,ZEpXO,reader_antonreiser,page29,enter,0.033,245,antonreiser-0-1-2-2-88;antonreiser-0-1-2-2-90;antonreiser-0-1-2-2-91;antonreiser-0-1-2-2-92;antonreiser-0-1-2-2-93;antonreiser-0-1-2-2-94
