162761,1737157282143,4e9c478f143e4fe05c7a229fe7ba39ac,UCJSk,reader_dieleidendesjungenwerthers,page1,enter,0.0068,87,dieleidendesjungenwerthers-54f9c;dieleidendesjungenwerthers-8500c;dieleidendesjungenwerthers-ae100;dieleidendesjungenwerthers-b1d6e;dieleidendesjungenwerthers-f0299
162838,1737162505158,7cca99778558848ec788231ba4c82700,jcUM0,fifty-saetze,,enter,,0,
162839,1737162508841,7cca99778558848ec788231ba4c82700,jcUM0,reader_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
162840,1737162509722,7cca99778558848ec788231ba4c82700,jcUM0,reader_ausdemlebeneinestaugenichts,page3,enter,0.0117,104,ausdemlebeneinestaugenichts-12639;ausdemlebeneinestaugenichts-2d3da;ausdemlebeneinestaugenichts-5c90d;ausdemlebeneinestaugenichts-6d7af
162841,1737162509983,7cca99778558848ec788231ba4c82700,jcUM0,reader_ausdemlebeneinestaugenichts,page4,enter,0.0146,83,ausdemlebeneinestaugenichts-0f09b;ausdemlebeneinestaugenichts-349ad;ausdemlebeneinestaugenichts-45731;ausdemlebeneinestaugenichts-5c7a3;ausdemlebeneinestaugenichts-5c90d;ausdemlebeneinestaugenichts-9ce87;ausdemlebeneinestaugenichts-d42df
162842,1737162519778,7cca99778558848ec788231ba4c82700,jcUM0,reader_ausdemlebeneinestaugenichts,location,set,ort-3,0,
162843,1737162521410,7cca99778558848ec788231ba4c82700,jcUM0,reader_ausdemlebeneinestaugenichts,page5,enter,0.0175,53,ausdemlebeneinestaugenichts-01806;ausdemlebeneinestaugenichts-18ce9;ausdemlebeneinestaugenichts-2b2bc;ausdemlebeneinestaugenichts-6c46c;ausdemlebeneinestaugenichts-87057;ausdemlebeneinestaugenichts-9393e;ausdemlebeneinestaugenichts-a546f;ausdemlebeneinestaugenichts-c9990;ausdemlebeneinestaugenichts-e721d;ausdemlebeneinestaugenichts-f90c3
162844,1737162524058,7cca99778558848ec788231ba4c82700,jcUM0,fifty-saetze,,enter,,0,
162845,1737162528248,7cca99778558848ec788231ba4c82700,jcUM0,home,,enter,,0,
162846,1737162530258,7cca99778558848ec788231ba4c82700,jcUM0,zu-den-texten,,enter,,0,
162847,1737162550804,7cca99778558848ec788231ba4c82700,jcUM0,titelblatt_duineserelegien,,enter,duineserelegien,0,
162848,1737162553512,7cca99778558848ec788231ba4c82700,jcUM0,zu-den-texten,,enter,,0,
162849,1737162557385,7cca99778558848ec788231ba4c82700,jcUM0,titelblatt_dermessias,,enter,dermessias,0,
162850,1737162559245,7cca99778558848ec788231ba4c82700,jcUM0,zu-den-texten,,enter,,0,
162851,1737162561078,7cca99778558848ec788231ba4c82700,jcUM0,titelblatt_antonreiser,,enter,antonreiser,0,
162852,1737162562647,7cca99778558848ec788231ba4c82700,jcUM0,zu-den-texten,,enter,,0,
